A,nu,a,at,dt,dtt,taut,n_steps,arm,seed,A_hat,xc_hat,nu_hat,fit_rms,at_bound,l2_vs_exact,runtime_s
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,0,0.9998360402947434,1.9874263927230578,0.4975131840944507,0.0018768407033957376,0,0.01745554032293462,0.22438729772277707
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,0,0.9999507681795836,2.0031207119452366,0.5059584553119322,0.0021221632891984775,0,0.013530508740282885,0.22438729772277707
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,0,1.0003333150608678,2.007975111267996,0.5052182006167266,0.0030626712273440666,0,0.018670713071290475,0.22438729772277707
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,0,0.9995636418705541,2.0119836042616823,0.49054389555378436,0.0025735565598088463,0,0.022132627589610685,0.22438729772277707
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,0,0.9997423924867457,2.029986682023915,0.49100945153119646,0.002114228159385799,0,0.0380212976162172,0.22438729772277707
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,0,0.9997643718952258,2.044359075947229,0.5013325066672109,0.001768201026475144,0,0.05197497504330162,0.22438729772277707
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,0,0.999925801943754,2.0544125303566196,0.5087796770919298,0.0023757334645715875,0,0.06472145513722133,0.22438729772277707
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,1,1.0000092077119913,2.0011162971011833,0.4988912400055806,0.0017123423686510493,0,0.008623602204814163,0.22393685128606325
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,1,1.0001234547936453,1.995357897489841,0.5017758649677952,0.00131371419167608,0,0.008649847812463474,0.22393685128606325
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,1,0.999938391885512,1.9952234300374694,0.49637424202800967,0.0025923733460002218,0,0.014629689099812002,0.22393685128606325
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,1,1.0002370922275,1.9706875085969442,0.501325035757464,0.001895371753744914,0,0.03511027545713603,0.22393685128606325
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,1,1.0005979862474268,1.960575421751872,0.5076881232379131,0.0032545147457244813,0,0.04890168028661152,0.22393685128606325
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,1,1.0000663290030352,1.9313823500523362,0.500462120740228,0.002148825392982087,0,0.0799150069594117,0.22393685128606325
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,1,1.000286753910352,1.8808743839026014,0.506463729593391,0.003262353345705407,0,0.1382301241473513,0.22393685128606325
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,2,1.0003310645170054,1.989862345618323,0.507023165717661,0.0018745810146201403,0,0.0171675647828147,0.22303240485156753
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,2,1.000542962852389,1.9866354136947268,0.5116455462614397,0.002960870434632986,0,0.025498745381458878,0.22303240485156753
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,2,1.0003024788818926,2.00085701261151,0.5093569870051369,0.003307461286997779,0,0.02001888662279595,0.22303240485156753
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,2,1.0001417627441376,1.9893529365705205,0.49865226510303995,0.0028999849743442155,0,0.018926386789534396,0.22303240485156753
1.0,0.5,4.0,4.0,0.0025,0.005,5.0,1000,cond_mean,2,1.0000920505338937,2.0083885576742717,0.5031789908746994,0.001504918537227883,0,0.012814194431510677,0.22303240485156753
1.0,0.5,4.0,4.0,0.0025,0.005,10.0,2000,cond_mean,2,0.9998381005672551,2.009447302657267,0.500492881264308,0.0016464447948109713,0,0.013629996490450269,0.22303240485156753
1.0,0.5,4.0,4.0,0.0025,0.005,20.0,4000,cond_mean,2,1.00032739719453,1.9971011877665121,0.5071932830993081,0.0023307475722326976,0,0.014806637629243202,0.22303240485156753
1.0,0.5,4.0,4.0,0.0025,0.005,0.5,100,cond_mean,3,0.9999246887518922,2.001024992386203,0.5023638414631653,0.003088172867983268,0,0.015545509675251286,0.2238893690020112
1.0,0.5,4.0,4.0,0.0025,0.005,1.0,200,cond_mean,3,1.000227011313577,2.0050985991732624,0.5052051336504827,0.0019323543627496717,0,0.012874867229684964,0.2238893690020112
1.0,0.5,4.0,4.0,0.0025,0.005,2.0,400,cond_mean,3,1.0004298289062419,1.9998542964152246,0.5083424199711598,0.002542942575698893,0,0.016114178000757366,0.2238893690020112
1.0,0.5,4.0,4.0,0.0025,0.005,3.5,700,cond_mean,3,0.9999309977920116,2.000079675342716,0.5038379945595943,0.0021925234492090316,0,0.01193973534534062,0.2238893690020112
